Job_ID,Job_Role,Skills,Skill_Count,Experience,Experience_Level,Target_Students,Domain,Source,Companies,Projects,Salary_Range,Salary_Min,Salary_Max,Salary_Avg,Has_Salary_Data,Embedding_Text
11,AI Research Scientist,"Deep Learning, TensorFlow, PyTorch, NLP",4,Senior-level (5+ years),3.0,College,General,CSV,"OpenAI, DeepMind, Google Brain","Image Recognition, Language Models","$150,000 - $250,000",150000,250000,200000,True,"Job Role: AI Research Scientist. Skills: Deep Learning, TensorFlow, PyTorch, NLP. Experience: Senior-level (5+ years). Domain: General"
12,Management Consultant,"Business Strategy, Data Analysis, Project Management",3,Mid-level (2-5 years),2.0,College,General,CSV,"McKinsey, BCG, Bain","Corporate Strategy, Market Entry Analysis","$140,000 - $200,000",140000,200000,170000,True,"Job Role: Management Consultant. Skills: Business Strategy, Data Analysis, Project Management. Experience: Mid-level (2-5 years). Domain: General"
13,Process Engineer,"Chemical Engineering, Process Safety, Six Sigma",3,Mid-level (2-5 years),2.0,College,General,CSV,"ExxonMobil, Shell, Dow Chemical","Plant Optimization, Safety Protocols","$85,000 - $130,000",85000,130000,107500,True,"Job Role: Process Engineer. Skills: Chemical Engineering, Process Safety, Six Sigma. Experience: Mid-level (2-5 years). Domain: General"
14,Clinical Data Manager,"SAS, Clinical Data Management, CDISC Standards",3,Senior-level (5+ years),3.0,College,General,CSV,"Roche, GSK, AstraZeneca","Clinical Trial Database, Data Quality Management","$85,000 - $120,000",85000,120000,102500,True,"Job Role: Clinical Data Manager. Skills: SAS, Clinical Data Management, CDISC Standards. Experience: Senior-level (5+ years). Domain: General"
15,Risk Manager,"Risk Assessment, Basel Regulations, Financial Analysis",3,Senior-level (5+ years),3.0,College,General,CSV,"Citigroup, HSBC, Deutsche Bank","Risk Models, Compliance Reports","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Risk Manager. Skills: Risk Assessment, Basel Regulations, Financial Analysis. Experience: Senior-level (5+ years). Domain: General"
16,Operations Manager,"Operations Management, Lean Six Sigma, Team Leadership",3,Senior-level (5+ years),3.0,College,General,CSV,"Toyota, Ford, Tesla","Process Improvement, Cost Reduction","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Operations Manager. Skills: Operations Management, Lean Six Sigma, Team Leadership. Experience: Senior-level (5+ years). Domain: General"
17,Electrical Engineer,"Circuit Design, PCB Layout, FPGA Programming, MATLAB, Electronics Testing, PCB Design, Power Systems, Control Systems, Signal Processing, Troubleshooting, Simulation, Problem Solving",12,Mid-level (2-5 years),2.0,College,Technical,CSV+XLSX,"Intel, Texas Instruments, AMD","Power Systems Design, Electronics Prototyping","$90,000 - $135,000",90000,135000,112500,True,"Job Role: Electrical Engineer. Skills: Circuit Design, PCB Layout, FPGA Programming, MATLAB, Electronics Testing, PCB Design, Power Systems, Control Systems, Signal Processing, Troubleshooting, Simulation, Problem Solving. Experience: Mid-level (2-5 years). Domain: Technical"
18,Nurse Practitioner,"Clinical Care, Patient Assessment, Medical Records",3,Senior-level (5+ years),3.0,College,General,CSV,"Cleveland Clinic, Johns Hopkins, Mayo Clinic","Patient Care Programs, Health Education","$110,000 - $150,000",110000,150000,130000,True,"Job Role: Nurse Practitioner. Skills: Clinical Care, Patient Assessment, Medical Records. Experience: Senior-level (5+ years). Domain: General"
19,Portfolio Manager,"Asset Allocation, Risk Management, Market Analysis",3,Senior-level (5+ years),3.0,College,General,CSV,"Vanguard, Fidelity, BlackRock","Investment Strategy, Portfolio Optimization","$150,000 - $250,000",150000,250000,200000,True,"Job Role: Portfolio Manager. Skills: Asset Allocation, Risk Management, Market Analysis. Experience: Senior-level (5+ years). Domain: General"
20,Business Intelligence Analyst,"SQL, Tableau, Power BI, Data Analysis",4,Mid-level (2-5 years),2.0,College,General,CSV,"Microsoft, Oracle, SAP","Sales Analytics Dashboard, KPI Reporting","$85,000 - $120,000",85000,120000,102500,True,"Job Role: Business Intelligence Analyst. Skills: SQL, Tableau, Power BI, Data Analysis. Experience: Mid-level (2-5 years). Domain: General"
21,Aerospace Engineer,"Fluid Dynamics, Propulsion Systems, CAD, Aerodynamics, CFD, MATLAB, Simulation, Problem Solving, Teamwork, Report Writing",10,Senior-level (5+ years),3.0,College,Aerospace,CSV+XLSX,"NASA, SpaceX, Lockheed Martin","Aircraft Design, Propulsion Systems","$110,000 - $160,000",110000,160000,135000,True,"Job Role: Aerospace Engineer. Skills: Fluid Dynamics, Propulsion Systems, CAD, Aerodynamics, CFD, MATLAB, Simulation, Problem Solving, Teamwork, Report Writing. Experience: Senior-level (5+ years). Domain: Aerospace"
22,Healthcare Data Scientist,"Python, R, Healthcare Analytics, HIPAA",4,Mid-level (2-5 years),2.0,College,General,CSV,"UnitedHealth, Anthem, Cigna","Patient Outcome Analysis, Resource Optimization","$100,000 - $150,000",100000,150000,125000,True,"Job Role: Healthcare Data Scientist. Skills: Python, R, Healthcare Analytics, HIPAA. Experience: Mid-level (2-5 years). Domain: General"
23,Investment Research Analyst,"Equity Research, Financial Analysis, Industry Analysis",3,Entry-level (0-2 years),1.0,College,General,CSV,"Fidelity, Charles Schwab, Edward Jones","Stock Analysis Reports, Industry Studies","$70,000 - $100,000",70000,100000,85000,True,"Job Role: Investment Research Analyst. Skills: Equity Research, Financial Analysis, Industry Analysis. Experience: Entry-level (0-2 years). Domain: General"
24,Manufacturing Engineer,"Lean Manufacturing, Quality Control, CAM",3,Mid-level (2-5 years),2.0,College,General,CSV,"3M, Caterpillar, John Deere","Production Line Optimization, Quality Systems","$80,000 - $120,000",80000,120000,100000,True,"Job Role: Manufacturing Engineer. Skills: Lean Manufacturing, Quality Control, CAM. Experience: Mid-level (2-5 years). Domain: General"
25,Medical Device Sales Manager,"Medical Device Knowledge, Sales, Relationship Management",3,Senior-level (5+ years),3.0,College,General,CSV,"Stryker, Zimmer Biomet, Abbott","Sales Territory Management, Product Training","$120,000 - $200,000",120000,200000,160000,True,"Job Role: Medical Device Sales Manager. Skills: Medical Device Knowledge, Sales, Relationship Management. Experience: Senior-level (5+ years). Domain: General"
26,Corporate Strategy Director,"Strategic Planning, Market Analysis, Business Development",3,Senior-level (5+ years),3.0,College,General,CSV,"Microsoft, Apple, Google","Growth Strategy, Market Expansion","$150,000 - $250,000",150000,250000,200000,True,"Job Role: Corporate Strategy Director. Skills: Strategic Planning, Market Analysis, Business Development. Experience: Senior-level (5+ years). Domain: General"
27,Robotics Engineer,"ROS, Computer Vision, Control Systems, Python, C++, Sensors, Actuators, Circuit Design, CAD, Simulation, Problem Solving",11,Mid-level (2-5 years),2.0,College,Technical,CSV+XLSX,"Boston Dynamics, FANUC, ABB","Industrial Robot Programming, Automation Systems","$100,000 - $150,000",100000,150000,125000,True,"Job Role: Robotics Engineer. Skills: ROS, Computer Vision, Control Systems, Python, C++, Sensors, Actuators, Circuit Design, CAD, Simulation, Problem Solving. Experience: Mid-level (2-5 years). Domain: Technical"
28,Pharmaceutical Researcher,"Drug Development, Clinical Research, Biochemistry",3,Senior-level (5+ years),3.0,College,General,CSV,"Pfizer, Merck, Bristol Myers Squibb","Drug Discovery, Clinical Trials","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Pharmaceutical Researcher. Skills: Drug Development, Clinical Research, Biochemistry. Experience: Senior-level (5+ years). Domain: General"
29,Commodities Trader,"Commodities Markets, Risk Management, Trading Strategies",3,Mid-level (2-5 years),2.0,College,General,CSV,"Glencore, Cargill, ADM","Trading Analysis, Market Research","$130,000 - $200,000",130000,200000,165000,True,"Job Role: Commodities Trader. Skills: Commodities Markets, Risk Management, Trading Strategies. Experience: Mid-level (2-5 years). Domain: General"
30,Quality Control Engineer,"Quality Systems, ISO Standards, Statistical Process Control",3,Mid-level (2-5 years),2.0,College,General,CSV,"Toyota, Samsung, LG","Quality Management Systems, Process Validation","$75,000 - $110,000",75000,110000,92500,True,"Job Role: Quality Control Engineer. Skills: Quality Systems, ISO Standards, Statistical Process Control. Experience: Mid-level (2-5 years). Domain: General"
31,Healthcare IT Manager,"Healthcare Systems, IT Infrastructure, HIPAA Compliance",3,Senior-level (5+ years),3.0,College,General,CSV,"Epic Systems, Cerner, Allscripts","EHR Implementation, Security Protocols","$110,000 - $160,000",110000,160000,135000,True,"Job Role: Healthcare IT Manager. Skills: Healthcare Systems, IT Infrastructure, HIPAA Compliance. Experience: Senior-level (5+ years). Domain: General"
32,Mergers & Acquisitions Analyst,"Financial Modeling, Due Diligence, Valuation",3,Mid-level (2-5 years),2.0,College,General,CSV,"Goldman Sachs, JP Morgan, Morgan Stanley","M&A Deal Analysis, Integration Planning","$130,000 - $200,000",130000,200000,165000,True,"Job Role: Mergers & Acquisitions Analyst. Skills: Financial Modeling, Due Diligence, Valuation. Experience: Mid-level (2-5 years). Domain: General"
33,Environmental Engineer,"Environmental Regulations, Waste Management, Sustainability, Water Treatment, MATLAB, Data Analysis, Report Writing",7,Mid-level (2-5 years),2.0,College,Civil,CSV+XLSX,"CH2M, AECOM, Arcadis","Environmental Impact Studies, Remediation Projects","$80,000 - $120,000",80000,120000,100000,True,"Job Role: Environmental Engineer. Skills: Environmental Regulations, Waste Management, Sustainability, Water Treatment, MATLAB, Data Analysis, Report Writing. Experience: Mid-level (2-5 years). Domain: Civil"
34,Clinical Research Manager,"Clinical Trial Design, GCP, Research Management",3,Senior-level (5+ years),3.0,College,General,CSV,"Novartis, Roche, Merck","Multi-site Trial Management, Protocol Development","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Clinical Research Manager. Skills: Clinical Trial Design, GCP, Research Management. Experience: Senior-level (5+ years). Domain: General"
35,Private Equity Associate,"Private Equity, Deal Structuring",2,Entry-level (0-2 years),1.0,College,General,CSV,nan,nan,,0,0,0,False,"Job Role: Private Equity Associate. Skills: Private Equity, Deal Structuring. Experience: Entry-level (0-2 years). Domain: General"
36,Actuarial Analyst,"Statistical Analysis, Risk Assessment, Actuarial Software",3,Entry-level (0-2 years),1.0,College,General,CSV,"AIG, Prudential, MetLife","Insurance Risk Models, Mortality Studies","$75,000 - $110,000",75000,110000,92500,True,"Job Role: Actuarial Analyst. Skills: Statistical Analysis, Risk Assessment, Actuarial Software. Experience: Entry-level (0-2 years). Domain: General"
37,Nuclear Engineer,"Nuclear Systems, Safety Protocols, Radiation Protection",3,Senior-level (5+ years),3.0,College,General,CSV,"Westinghouse, GE Nuclear, Exelon","Reactor Design, Safety Analysis","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Nuclear Engineer. Skills: Nuclear Systems, Safety Protocols, Radiation Protection. Experience: Senior-level (5+ years). Domain: General"
38,Medical Science Liaison,"Clinical Knowledge, Scientific Communication, Research",3,Senior-level (5+ years),3.0,College,General,CSV,"Novartis, Pfizer, AstraZeneca","Medical Education Programs, Clinical Advisory","$140,000 - $200,000",140000,200000,170000,True,"Job Role: Medical Science Liaison. Skills: Clinical Knowledge, Scientific Communication, Research. Experience: Senior-level (5+ years). Domain: General"
39,Derivatives Trader,"Options Trading, Risk Management, Financial Mathematics",3,Mid-level (2-5 years),2.0,College,General,CSV,"Citadel, Jane Street, Optiver","Options Strategy Development, Risk Models","$150,000 - $300,000",150000,300000,225000,True,"Job Role: Derivatives Trader. Skills: Options Trading, Risk Management, Financial Mathematics. Experience: Mid-level (2-5 years). Domain: General"
40,Industrial Engineer,"Process Optimization, Ergonomics, Quality Control",3,Mid-level (2-5 years),2.0,College,General,CSV,"Boeing, Ford, General Motors","Manufacturing Efficiency, Workflow Optimization","$85,000 - $130,000",85000,130000,107500,True,"Job Role: Industrial Engineer. Skills: Process Optimization, Ergonomics, Quality Control. Experience: Mid-level (2-5 years). Domain: General"
41,Telemedicine Director,"Healthcare Management, Telehealth Systems, Medical License",3,Senior-level (5+ years),3.0,College,General,CSV,"Teladoc, Amwell, Doctor On Demand","Virtual Care Programs, Remote Health Platforms","$160,000 - $250,000",160000,250000,205000,True,"Job Role: Telemedicine Director. Skills: Healthcare Management, Telehealth Systems, Medical License. Experience: Senior-level (5+ years). Domain: General"
42,Business Development Manager,"Sales Strategy, Market Analysis, Negotiation",3,Senior-level (5+ years),3.0,College,General,CSV,"Salesforce, Oracle, IBM","Partnership Development, Market Expansion","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Business Development Manager. Skills: Sales Strategy, Market Analysis, Negotiation. Experience: Senior-level (5+ years). Domain: General"
43,Petroleum Engineer,"Reservoir Engineering, Well Design, Geology",3,Mid-level (2-5 years),2.0,College,General,CSV,"ExxonMobil, Shell, Chevron","Oil Field Development, Production Optimization","$130,000 - $190,000",130000,190000,160000,True,"Job Role: Petroleum Engineer. Skills: Reservoir Engineering, Well Design, Geology. Experience: Mid-level (2-5 years). Domain: General"
44,Clinical Informatics Specialist,"Healthcare IT, Data Analysis, Clinical Workflows",3,Mid-level (2-5 years),2.0,College,General,CSV,"Epic, Cerner, Meditech","EHR Optimization, Clinical Decision Support","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Clinical Informatics Specialist. Skills: Healthcare IT, Data Analysis, Clinical Workflows. Experience: Mid-level (2-5 years). Domain: General"
45,Hedge Fund Analyst,"Investment Analysis, Portfolio Management, Programming",3,Mid-level (2-5 years),2.0,College,General,CSV,"Bridgewater, Point72, Renaissance","Trading Strategy Development, Risk Analysis","$150,000 - $250,000",150000,250000,200000,True,"Job Role: Hedge Fund Analyst. Skills: Investment Analysis, Portfolio Management, Programming. Experience: Mid-level (2-5 years). Domain: General"
46,Automation Engineer,"PLC Programming, SCADA, Industrial Automation, PLC, Python, MATLAB, Circuit Design, Problem Solving, Troubleshooting",9,Mid-level (2-5 years),2.0,College,Technical,CSV+XLSX,"Siemens, Rockwell, ABB","Factory Automation, Control Systems","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Automation Engineer. Skills: PLC Programming, SCADA, Industrial Automation, PLC, Python, MATLAB, Circuit Design, Problem Solving, Troubleshooting. Experience: Mid-level (2-5 years). Domain: Technical"
47,Healthcare Compliance Officer,"Healthcare Laws, Risk Management, Compliance",3,Senior-level (5+ years),3.0,College,General,CSV,"UnitedHealth, Anthem, Humana","Compliance Programs, Audit Management","$110,000 - $170,000",110000,170000,140000,True,"Job Role: Healthcare Compliance Officer. Skills: Healthcare Laws, Risk Management, Compliance. Experience: Senior-level (5+ years). Domain: General"
48,Credit Risk Analyst,"Credit Analysis, Risk Modeling, Banking Regulations",3,Mid-level (2-5 years),2.0,College,General,CSV,"Bank of America, Wells Fargo, Citi","Credit Risk Models, Portfolio Analysis","$85,000 - $130,000",85000,130000,107500,True,"Job Role: Credit Risk Analyst. Skills: Credit Analysis, Risk Modeling, Banking Regulations. Experience: Mid-level (2-5 years). Domain: General"
49,Aerodynamics Engineer,"CFD, Wind Tunnel Testing, Aerodynamics",3,Senior-level (5+ years),3.0,College,General,CSV,"Boeing, Airbus, Lockheed Martin","Aircraft Design, Performance Analysis","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Aerodynamics Engineer. Skills: CFD, Wind Tunnel Testing, Aerodynamics. Experience: Senior-level (5+ years). Domain: General"
50,Clinical Trial Manager,"Trial Management, GCP, Protocol Development",3,Senior-level (5+ years),3.0,College,General,CSV,"Pfizer, GSK, Merck","Multi-center Trials, Study Coordination","$130,000 - $190,000",130000,190000,160000,True,"Job Role: Clinical Trial Manager. Skills: Trial Management, GCP, Protocol Development. Experience: Senior-level (5+ years). Domain: General"
51,Treasury Manager,"Cash Management, Foreign Exchange, Risk Management",3,Senior-level (5+ years),3.0,College,General,CSV,"JP Morgan, HSBC, Citi","Cash Flow Forecasting, Investment Strategy","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Treasury Manager. Skills: Cash Management, Foreign Exchange, Risk Management. Experience: Senior-level (5+ years). Domain: General"
52,Robotics Software Engineer,"ROS, Computer Vision, C++",3,Mid-level (2-5 years),2.0,College,General,CSV,"Boston Dynamics, iRobot, KUKA","Autonomous Systems, Robot Control","$110,000 - $170,000",110000,170000,140000,True,"Job Role: Robotics Software Engineer. Skills: ROS, Computer Vision, C++. Experience: Mid-level (2-5 years). Domain: General"
53,Healthcare Quality Manager,"Quality Metrics, Patient Safety, Regulatory Compliance",3,Senior-level (5+ years),3.0,College,General,CSV,"Cleveland Clinic, Mayo Clinic, Johns Hopkins","Quality Improvement, Patient Safety Programs","$100,000 - $150,000",100000,150000,125000,True,"Job Role: Healthcare Quality Manager. Skills: Quality Metrics, Patient Safety, Regulatory Compliance. Experience: Senior-level (5+ years). Domain: General"
54,Fixed Income Analyst,"Bond Markets, Yield Analysis, Financial Modeling",3,Mid-level (2-5 years),2.0,College,General,CSV,"PIMCO, BlackRock, Vanguard","Fixed Income Research, Portfolio Analysis","$100,000 - $150,000",100000,150000,125000,True,"Job Role: Fixed Income Analyst. Skills: Bond Markets, Yield Analysis, Financial Modeling. Experience: Mid-level (2-5 years). Domain: General"
55,Materials Engineer,"Material Science, Testing Methods, Quality Control",3,Mid-level (2-5 years),2.0,College,General,CSV,"3M, DuPont, BASF","Materials Development, Failure Analysis","$85,000 - $130,000",85000,130000,107500,True,"Job Role: Materials Engineer. Skills: Material Science, Testing Methods, Quality Control. Experience: Mid-level (2-5 years). Domain: General"
56,Pharmaceutical Sales Director,"Sales Management, Medical Knowledge, Business Development",3,Senior-level (5+ years),3.0,College,General,CSV,"Johnson & Johnson, Novartis, Roche","Sales Strategy, Team Management","$150,000 - $250,000",150000,250000,200000,True,"Job Role: Pharmaceutical Sales Director. Skills: Sales Management, Medical Knowledge, Business Development. Experience: Senior-level (5+ years). Domain: General"
57,Corporate Finance Manager,"Financial Planning, Analysis, Budgeting",3,Senior-level (5+ years),3.0,College,General,CSV,"Amazon, Google, Microsoft","Financial Forecasting, Budget Management","$130,000 - $190,000",130000,190000,160000,True,"Job Role: Corporate Finance Manager. Skills: Financial Planning, Analysis, Budgeting. Experience: Senior-level (5+ years). Domain: General"
58,Controls Engineer,"PLC Programming, HMI Design, Industrial Networks",3,Mid-level (2-5 years),2.0,College,General,CSV,"Honeywell, Emerson, Schneider","Control System Design, Process Automation","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Controls Engineer. Skills: PLC Programming, HMI Design, Industrial Networks. Experience: Mid-level (2-5 years). Domain: General"
59,Clinical Operations Director,"Clinical Research, Team Management, GCP",3,Senior-level (5+ years),3.0,College,General,CSV,"PPD, IQVIA, Parexel","Research Program Management, Site Operations","$150,000 - $220,000",150000,220000,185000,True,"Job Role: Clinical Operations Director. Skills: Clinical Research, Team Management, GCP. Experience: Senior-level (5+ years). Domain: General"
60,Algorithmic Trading Developer,"Python, Machine Learning, Trading Systems",3,Senior-level (5+ years),3.0,College,General,CSV,"Citadel, Two Sigma, DE Shaw","Trading Algorithm Development, Market Analysis","$180,000 - $300,000",180000,300000,240000,True,"Job Role: Algorithmic Trading Developer. Skills: Python, Machine Learning, Trading Systems. Experience: Senior-level (5+ years). Domain: General"
61,Bioprocess Engineer,"Fermentation, Scale-up, Process Development",3,Mid-level (2-5 years),2.0,College,General,CSV,"Amgen, Genentech, Biogen","Bioreactor Design, Process Optimization","$95,000 - $145,000",95000,145000,120000,True,"Job Role: Bioprocess Engineer. Skills: Fermentation, Scale-up, Process Development. Experience: Mid-level (2-5 years). Domain: General"
62,Healthcare Strategy Consultant,"Healthcare Systems, Business Strategy, Analytics",3,Senior-level (5+ years),3.0,College,General,CSV,"McKinsey, BCG, Deloitte","Healthcare Market Analysis, Strategic Planning","$140,000 - $220,000",140000,220000,180000,True,"Job Role: Healthcare Strategy Consultant. Skills: Healthcare Systems, Business Strategy, Analytics. Experience: Senior-level (5+ years). Domain: General"
63,Venture Capital Analyst,"Startup Analysis, Due Diligence, Market Research",3,Mid-level (2-5 years),2.0,College,General,CSV,"Sequoia, Andreessen Horowitz, Kleiner Perkins","Investment Analysis, Deal Sourcing","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Venture Capital Analyst. Skills: Startup Analysis, Due Diligence, Market Research. Experience: Mid-level (2-5 years). Domain: General"
64,RF Engineer,"RF Design, Signal Processing, Testing",3,Mid-level (2-5 years),2.0,College,General,CSV,"Qualcomm, Nokia, Ericsson","Antenna Design, RF Systems","$95,000 - $145,000",95000,145000,120000,True,"Job Role: RF Engineer. Skills: RF Design, Signal Processing, Testing. Experience: Mid-level (2-5 years). Domain: General"
65,Medical Director,"Clinical Leadership, Healthcare Management, Medical License",3,Senior-level (5+ years),3.0,College,General,CSV,"United Healthcare, Kaiser, Blue Cross","Clinical Program Development, Quality Initiatives","$250,000 - $400,000",250000,400000,325000,True,"Job Role: Medical Director. Skills: Clinical Leadership, Healthcare Management, Medical License. Experience: Senior-level (5+ years). Domain: General"
66,Investment Banking Director,"M&A, Capital Markets, Client Management",3,Senior-level (5+ years),3.0,College,General,CSV,"Goldman Sachs, Morgan Stanley, JP Morgan","Deal Management, Strategic Advisory","$250,000 - $500,000",250000,500000,375000,True,"Job Role: Investment Banking Director. Skills: M&A, Capital Markets, Client Management. Experience: Senior-level (5+ years). Domain: General"
67,Systems Integration Engineer,"System Architecture, APIs, Integration Protocols",3,Mid-level (2-5 years),2.0,College,General,CSV,"IBM, Accenture, Deloitte","Enterprise Integration, Cloud Migration","$100,000 - $150,000",100000,150000,125000,True,"Job Role: Systems Integration Engineer. Skills: System Architecture, APIs, Integration Protocols. Experience: Mid-level (2-5 years). Domain: General"
68,Clinical Pharmacist,"Pharmacy, Patient Care, Drug Safety",3,Mid-level (2-5 years),2.0,College,General,CSV,"CVS Health, Walgreens, Hospital Systems","Medication Management, Patient Education","$110,000 - $140,000",110000,140000,125000,True,"Job Role: Clinical Pharmacist. Skills: Pharmacy, Patient Care, Drug Safety. Experience: Mid-level (2-5 years). Domain: General"
69,Market Risk Manager,"Risk Models, Basel Regulations, VaR",3,Senior-level (5+ years),3.0,College,General,CSV,"Deutsche Bank, UBS, Credit Suisse","Risk Assessment, Regulatory Reporting","$130,000 - $200,000",130000,200000,165000,True,"Job Role: Market Risk Manager. Skills: Risk Models, Basel Regulations, VaR. Experience: Senior-level (5+ years). Domain: General"
70,Telecommunications Engineer,"Network Design, 5G, Wireless Systems",3,Mid-level (2-5 years),2.0,College,General,CSV,"Verizon, AT&T, T-Mobile","Network Deployment, Coverage Optimization","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Telecommunications Engineer. Skills: Network Design, 5G, Wireless Systems. Experience: Mid-level (2-5 years). Domain: General"
71,Healthcare Analytics Manager,"Healthcare Data, Analytics, Business Intelligence",3,Senior-level (5+ years),3.0,College,General,CSV,"OptumHealth, Anthem, Cigna","Patient Outcomes Analysis, Cost Analysis","$120,000 - $180,000",120000,180000,150000,True,"Job Role: Healthcare Analytics Manager. Skills: Healthcare Data, Analytics, Business Intelligence. Experience: Senior-level (5+ years). Domain: General"
