Job_ID,Job_Role,Skills,Skills_Normalised,Skills_List,Projects,Companies,Domain,Target_Students,Experience_Label,Experience_Level,Salary_Range,Salary_Min,Salary_Max,Salary_Avg,Has_Salary_Data,Skill_Count,Skill_Count_Outlier,Embedding_Text
11,Ai Research Scientist,"Deep Learning, TensorFlow, PyTorch, NLP",deep learning | tensorflow | pytorch | natural language processing,"[""deep learning"", ""tensorflow"", ""pytorch"", ""natural language processing""]","Image Recognition, Language Models","OpenAI, DeepMind, Google Brain",General,College,Senior-level (5+ years),3.0,"$150,000 - $250,000",150000,250000,200000,True,4,False,"Job Role: Ai Research Scientist. Skills: Deep Learning, TensorFlow, PyTorch, NLP. Projects: Image Recognition, Language Models. Experience: Senior-level (5+ years)"
12,Management Consultant,"Business Strategy, Data Analysis, Project Management",business strategy | data analysis | project management,"[""business strategy"", ""data analysis"", ""project management""]","Corporate Strategy, Market Entry Analysis","McKinsey, BCG, Bain",General,College,Mid-level (2-5 years),2.0,"$140,000 - $200,000",140000,200000,170000,True,3,False,"Job Role: Management Consultant. Skills: Business Strategy, Data Analysis, Project Management. Projects: Corporate Strategy, Market Entry Analysis. Experience: Mid-level (2-5 years)"
13,Process Engineer,"Chemical Engineering, Process Safety, Six Sigma",chemical engineering | process safety | six sigma,"[""chemical engineering"", ""process safety"", ""six sigma""]","Plant Optimization, Safety Protocols","ExxonMobil, Shell, Dow Chemical",General,College,Mid-level (2-5 years),2.0,"$85,000 - $130,000",85000,130000,107500,True,3,False,"Job Role: Process Engineer. Skills: Chemical Engineering, Process Safety, Six Sigma. Projects: Plant Optimization, Safety Protocols. Experience: Mid-level (2-5 years)"
14,Clinical Data Manager,"SAS, Clinical Data Management, CDISC Standards",sas | clinical data management | cdisc standards,"[""sas"", ""clinical data management"", ""cdisc standards""]","Clinical Trial Database, Data Quality Management","Roche, GSK, AstraZeneca",General,College,Senior-level (5+ years),3.0,"$85,000 - $120,000",85000,120000,102500,True,3,False,"Job Role: Clinical Data Manager. Skills: SAS, Clinical Data Management, CDISC Standards. Projects: Clinical Trial Database, Data Quality Management. Experience: Senior-level (5+ years)"
15,Risk Manager,"Risk Assessment, Basel Regulations, Financial Analysis",risk assessment | basel regulations | financial analysis,"[""risk assessment"", ""basel regulations"", ""financial analysis""]","Risk Models, Compliance Reports","Citigroup, HSBC, Deutsche Bank",General,College,Senior-level (5+ years),3.0,"$120,000 - $180,000",120000,180000,150000,True,3,False,"Job Role: Risk Manager. Skills: Risk Assessment, Basel Regulations, Financial Analysis. Projects: Risk Models, Compliance Reports. Experience: Senior-level (5+ years)"
16,Operations Manager,"Operations Management, Lean Six Sigma, Team Leadership",operations management | lean six sigma | team leadership,"[""operations management"", ""lean six sigma"", ""team leadership""]","Process Improvement, Cost Reduction","Toyota, Ford, Tesla",General,College,Senior-level (5+ years),3.0,"$90,000 - $140,000",90000,140000,115000,True,3,False,"Job Role: Operations Manager. Skills: Operations Management, Lean Six Sigma, Team Leadership. Projects: Process Improvement, Cost Reduction. Experience: Senior-level (5+ years)"
17,Electrical Engineer,"Circuit Design, PCB Layout, FPGA Programming, MATLAB, Electronics Testing, PCB Design, Power Systems, Control Systems, Signal Processing, Troubleshooting, Simulation, Problem Solving",circuit design | pcb layout | fpga programming | matlab | electronics testing | pcb design | power systems | control systems | signal processing | troubleshooting | simulation | problem solving,"[""circuit design"", ""pcb layout"", ""fpga programming"", ""matlab"", ""electronics testing"", ""pcb design"", ""power systems"", ""control systems"", ""signal processing"", ""troubleshooting"", ""simulation"", ""problem solving""]","Power Systems Design, Electronics Prototyping","Intel, Texas Instruments, AMD",Technical,College,Mid-level (2-5 years),2.0,"$90,000 - $135,000",90000,135000,112500,True,12,True,"Job Role: Electrical Engineer. Skills: Circuit Design, PCB Layout, FPGA Programming, MATLAB, Electronics Testing, PCB Design, Power Systems, Control Systems, Signal Processing, Troubleshooting, Simulation, Problem Solving. Projects: Power Systems Design, Electronics Prototyping. Experience: Mid-level (2-5 years)"
18,Nurse Practitioner,"Clinical Care, Patient Assessment, Medical Records",clinical care | patient assessment | medical records,"[""clinical care"", ""patient assessment"", ""medical records""]","Patient Care Programs, Health Education","Cleveland Clinic, Johns Hopkins, Mayo Clinic",General,College,Senior-level (5+ years),3.0,"$110,000 - $150,000",110000,150000,130000,True,3,False,"Job Role: Nurse Practitioner. Skills: Clinical Care, Patient Assessment, Medical Records. Projects: Patient Care Programs, Health Education. Experience: Senior-level (5+ years)"
19,Portfolio Manager,"Asset Allocation, Risk Management, Market Analysis",asset allocation | risk management | market analysis,"[""asset allocation"", ""risk management"", ""market analysis""]","Investment Strategy, Portfolio Optimization","Vanguard, Fidelity, BlackRock",General,College,Senior-level (5+ years),3.0,"$150,000 - $250,000",150000,250000,200000,True,3,False,"Job Role: Portfolio Manager. Skills: Asset Allocation, Risk Management, Market Analysis. Projects: Investment Strategy, Portfolio Optimization. Experience: Senior-level (5+ years)"
20,Business Intelligence Analyst,"SQL, Tableau, Power BI, Data Analysis",sql | tableau | power bi | data analysis,"[""sql"", ""tableau"", ""power bi"", ""data analysis""]","Sales Analytics Dashboard, KPI Reporting","Microsoft, Oracle, SAP",General,College,Mid-level (2-5 years),2.0,"$85,000 - $120,000",85000,120000,102500,True,4,False,"Job Role: Business Intelligence Analyst. Skills: SQL, Tableau, Power BI, Data Analysis. Projects: Sales Analytics Dashboard, KPI Reporting. Experience: Mid-level (2-5 years)"
21,Aerospace Engineer,"Fluid Dynamics, Propulsion Systems, CAD, Aerodynamics, CFD, MATLAB, Simulation, Problem Solving, Teamwork, Report Writing",fluid dynamics | propulsion systems | cad design | aerodynamics | cfd | matlab | simulation | problem solving | teamwork | report writing,"[""fluid dynamics"", ""propulsion systems"", ""cad design"", ""aerodynamics"", ""cfd"", ""matlab"", ""simulation"", ""problem solving"", ""teamwork"", ""report writing""]","Aircraft Design, Propulsion Systems","NASA, SpaceX, Lockheed Martin",Aerospace,College,Senior-level (5+ years),3.0,"$110,000 - $160,000",110000,160000,135000,True,10,False,"Job Role: Aerospace Engineer. Skills: Fluid Dynamics, Propulsion Systems, CAD, Aerodynamics, CFD, MATLAB, Simulation, Problem Solving, Teamwork, Report Writing. Projects: Aircraft Design, Propulsion Systems. Experience: Senior-level (5+ years)"
22,Healthcare Data Scientist,"Python, R, Healthcare Analytics, HIPAA",python | r | healthcare analytics | hipaa,"[""python"", ""r"", ""healthcare analytics"", ""hipaa""]","Patient Outcome Analysis, Resource Optimization","UnitedHealth, Anthem, Cigna",General,College,Mid-level (2-5 years),2.0,"$100,000 - $150,000",100000,150000,125000,True,4,False,"Job Role: Healthcare Data Scientist. Skills: Python, R, Healthcare Analytics, HIPAA. Projects: Patient Outcome Analysis, Resource Optimization. Experience: Mid-level (2-5 years)"
23,Investment Research Analyst,"Equity Research, Financial Analysis, Industry Analysis",equity research | financial analysis | industry analysis,"[""equity research"", ""financial analysis"", ""industry analysis""]","Stock Analysis Reports, Industry Studies","Fidelity, Charles Schwab, Edward Jones",General,College,Entry-level (0-2 years),1.0,"$70,000 - $100,000",70000,100000,85000,True,3,False,"Job Role: Investment Research Analyst. Skills: Equity Research, Financial Analysis, Industry Analysis. Projects: Stock Analysis Reports, Industry Studies. Experience: Entry-level (0-2 years)"
24,Manufacturing Engineer,"Lean Manufacturing, Quality Control, CAM",lean manufacturing | quality control | cam,"[""lean manufacturing"", ""quality control"", ""cam""]","Production Line Optimization, Quality Systems","3M, Caterpillar, John Deere",General,College,Mid-level (2-5 years),2.0,"$80,000 - $120,000",80000,120000,100000,True,3,False,"Job Role: Manufacturing Engineer. Skills: Lean Manufacturing, Quality Control, CAM. Projects: Production Line Optimization, Quality Systems. Experience: Mid-level (2-5 years)"
25,Medical Device Sales Manager,"Medical Device Knowledge, Sales, Relationship Management",medical device knowledge | sales | relationship management,"[""medical device knowledge"", ""sales"", ""relationship management""]","Sales Territory Management, Product Training","Stryker, Zimmer Biomet, Abbott",General,College,Senior-level (5+ years),3.0,"$120,000 - $200,000",120000,200000,160000,True,3,False,"Job Role: Medical Device Sales Manager. Skills: Medical Device Knowledge, Sales, Relationship Management. Projects: Sales Territory Management, Product Training. Experience: Senior-level (5+ years)"
26,Corporate Strategy Director,"Strategic Planning, Market Analysis, Business Development",strategic planning | market analysis | business development,"[""strategic planning"", ""market analysis"", ""business development""]","Growth Strategy, Market Expansion","Microsoft, Apple, Google",General,College,Senior-level (5+ years),3.0,"$150,000 - $250,000",150000,250000,200000,True,3,False,"Job Role: Corporate Strategy Director. Skills: Strategic Planning, Market Analysis, Business Development. Projects: Growth Strategy, Market Expansion. Experience: Senior-level (5+ years)"
27,Robotics Engineer,"ROS, Computer Vision, Control Systems, Python, C++, Sensors, Actuators, Circuit Design, CAD, Simulation, Problem Solving",ros | computer vision | control systems | python | c++ | sensors | actuators | circuit design | cad design | simulation | problem solving,"[""ros"", ""computer vision"", ""control systems"", ""python"", ""c++"", ""sensors"", ""actuators"", ""circuit design"", ""cad design"", ""simulation"", ""problem solving""]","Industrial Robot Programming, Automation Systems","Boston Dynamics, FANUC, ABB",Technical,College,Mid-level (2-5 years),2.0,"$100,000 - $150,000",100000,150000,125000,True,11,False,"Job Role: Robotics Engineer. Skills: ROS, Computer Vision, Control Systems, Python, C++, Sensors, Actuators, Circuit Design, CAD, Simulation, Problem Solving. Projects: Industrial Robot Programming, Automation Systems. Experience: Mid-level (2-5 years)"
28,Pharmaceutical Researcher,"Drug Development, Clinical Research, Biochemistry",drug development | clinical research | biochemistry,"[""drug development"", ""clinical research"", ""biochemistry""]","Drug Discovery, Clinical Trials","Pfizer, Merck, Bristol Myers Squibb",General,College,Senior-level (5+ years),3.0,"$120,000 - $180,000",120000,180000,150000,True,3,False,"Job Role: Pharmaceutical Researcher. Skills: Drug Development, Clinical Research, Biochemistry. Projects: Drug Discovery, Clinical Trials. Experience: Senior-level (5+ years)"
29,Commodities Trader,"Commodities Markets, Risk Management, Trading Strategies",commodities markets | risk management | trading strategies,"[""commodities markets"", ""risk management"", ""trading strategies""]","Trading Analysis, Market Research","Glencore, Cargill, ADM",General,College,Mid-level (2-5 years),2.0,"$130,000 - $200,000",130000,200000,165000,True,3,False,"Job Role: Commodities Trader. Skills: Commodities Markets, Risk Management, Trading Strategies. Projects: Trading Analysis, Market Research. Experience: Mid-level (2-5 years)"
30,Quality Control Engineer,"Quality Systems, ISO Standards, Statistical Process Control",quality systems | iso standards | statistical process control,"[""quality systems"", ""iso standards"", ""statistical process control""]","Quality Management Systems, Process Validation","Toyota, Samsung, LG",General,College,Mid-level (2-5 years),2.0,"$75,000 - $110,000",75000,110000,92500,True,3,False,"Job Role: Quality Control Engineer. Skills: Quality Systems, ISO Standards, Statistical Process Control. Projects: Quality Management Systems, Process Validation. Experience: Mid-level (2-5 years)"
31,Healthcare It Manager,"Healthcare Systems, IT Infrastructure, HIPAA Compliance",healthcare systems | it infrastructure | hipaa compliance,"[""healthcare systems"", ""it infrastructure"", ""hipaa compliance""]","EHR Implementation, Security Protocols","Epic Systems, Cerner, Allscripts",General,College,Senior-level (5+ years),3.0,"$110,000 - $160,000",110000,160000,135000,True,3,False,"Job Role: Healthcare It Manager. Skills: Healthcare Systems, IT Infrastructure, HIPAA Compliance. Projects: EHR Implementation, Security Protocols. Experience: Senior-level (5+ years)"
32,Mergers & Acquisitions Analyst,"Financial Modeling, Due Diligence, Valuation",financial modeling | due diligence | valuation,"[""financial modeling"", ""due diligence"", ""valuation""]","M&A Deal Analysis, Integration Planning","Goldman Sachs, JP Morgan, Morgan Stanley",General,College,Mid-level (2-5 years),2.0,"$130,000 - $200,000",130000,200000,165000,True,3,False,"Job Role: Mergers & Acquisitions Analyst. Skills: Financial Modeling, Due Diligence, Valuation. Projects: M&A Deal Analysis, Integration Planning. Experience: Mid-level (2-5 years)"
33,Environmental Engineer,"Environmental Regulations, Waste Management, Sustainability, Water Treatment, MATLAB, Data Analysis, Report Writing",environmental regulations | waste management | sustainability | water treatment | matlab | data analysis | report writing,"[""environmental regulations"", ""waste management"", ""sustainability"", ""water treatment"", ""matlab"", ""data analysis"", ""report writing""]","Environmental Impact Studies, Remediation Projects","CH2M, AECOM, Arcadis",Civil,College,Mid-level (2-5 years),2.0,"$80,000 - $120,000",80000,120000,100000,True,7,False,"Job Role: Environmental Engineer. Skills: Environmental Regulations, Waste Management, Sustainability, Water Treatment, MATLAB, Data Analysis, Report Writing. Projects: Environmental Impact Studies, Remediation Projects. Experience: Mid-level (2-5 years)"
34,Clinical Research Manager,"Clinical Trial Design, GCP, Research Management",clinical trial design | google cloud platform | research management,"[""clinical trial design"", ""google cloud platform"", ""research management""]","Multi-site Trial Management, Protocol Development","Novartis, Roche, Merck",General,College,Senior-level (5+ years),3.0,"$120,000 - $180,000",120000,180000,150000,True,3,False,"Job Role: Clinical Research Manager. Skills: Clinical Trial Design, GCP, Research Management. Projects: Multi-site Trial Management, Protocol Development. Experience: Senior-level (5+ years)"
35,Private Equity Associate,"Private Equity, Deal Structuring",private equity | deal structuring,"[""private equity"", ""deal structuring""]",,,General,College,Entry-level (0-2 years),1.0,,0,0,0,False,2,False,"Job Role: Private Equity Associate. Skills: Private Equity, Deal Structuring. Experience: Entry-level (0-2 years)"
36,Actuarial Analyst,"Statistical Analysis, Risk Assessment, Actuarial Software",statistical analysis | risk assessment | actuarial software,"[""statistical analysis"", ""risk assessment"", ""actuarial software""]","Insurance Risk Models, Mortality Studies","AIG, Prudential, MetLife",General,College,Entry-level (0-2 years),1.0,"$75,000 - $110,000",75000,110000,92500,True,3,False,"Job Role: Actuarial Analyst. Skills: Statistical Analysis, Risk Assessment, Actuarial Software. Projects: Insurance Risk Models, Mortality Studies. Experience: Entry-level (0-2 years)"
37,Nuclear Engineer,"Nuclear Systems, Safety Protocols, Radiation Protection",nuclear systems | safety protocols | radiation protection,"[""nuclear systems"", ""safety protocols"", ""radiation protection""]","Reactor Design, Safety Analysis","Westinghouse, GE Nuclear, Exelon",General,College,Senior-level (5+ years),3.0,"$120,000 - $180,000",120000,180000,150000,True,3,False,"Job Role: Nuclear Engineer. Skills: Nuclear Systems, Safety Protocols, Radiation Protection. Projects: Reactor Design, Safety Analysis. Experience: Senior-level (5+ years)"
38,Medical Science Liaison,"Clinical Knowledge, Scientific Communication, Research",clinical knowledge | scientific communication | research,"[""clinical knowledge"", ""scientific communication"", ""research""]","Medical Education Programs, Clinical Advisory","Novartis, Pfizer, AstraZeneca",General,College,Senior-level (5+ years),3.0,"$140,000 - $200,000",140000,200000,170000,True,3,False,"Job Role: Medical Science Liaison. Skills: Clinical Knowledge, Scientific Communication, Research. Projects: Medical Education Programs, Clinical Advisory. Experience: Senior-level (5+ years)"
39,Derivatives Trader,"Options Trading, Risk Management, Financial Mathematics",options trading | risk management | financial mathematics,"[""options trading"", ""risk management"", ""financial mathematics""]","Options Strategy Development, Risk Models","Citadel, Jane Street, Optiver",General,College,Mid-level (2-5 years),2.0,"$150,000 - $300,000",150000,290000,225000,True,3,False,"Job Role: Derivatives Trader. Skills: Options Trading, Risk Management, Financial Mathematics. Projects: Options Strategy Development, Risk Models. Experience: Mid-level (2-5 years)"
40,Industrial Engineer,"Process Optimization, Ergonomics, Quality Control",process optimization | ergonomics | quality control,"[""process optimization"", ""ergonomics"", ""quality control""]","Manufacturing Efficiency, Workflow Optimization","Boeing, Ford, General Motors",General,College,Mid-level (2-5 years),2.0,"$85,000 - $130,000",85000,130000,107500,True,3,False,"Job Role: Industrial Engineer. Skills: Process Optimization, Ergonomics, Quality Control. Projects: Manufacturing Efficiency, Workflow Optimization. Experience: Mid-level (2-5 years)"
41,Telemedicine Director,"Healthcare Management, Telehealth Systems, Medical License",healthcare management | telehealth systems | medical license,"[""healthcare management"", ""telehealth systems"", ""medical license""]","Virtual Care Programs, Remote Health Platforms","Teladoc, Amwell, Doctor On Demand",General,College,Senior-level (5+ years),3.0,"$160,000 - $250,000",160000,250000,205000,True,3,False,"Job Role: Telemedicine Director. Skills: Healthcare Management, Telehealth Systems, Medical License. Projects: Virtual Care Programs, Remote Health Platforms. Experience: Senior-level (5+ years)"
42,Business Development Manager,"Sales Strategy, Market Analysis, Negotiation",sales strategy | market analysis | negotiation,"[""sales strategy"", ""market analysis"", ""negotiation""]","Partnership Development, Market Expansion","Salesforce, Oracle, IBM",General,College,Senior-level (5+ years),3.0,"$120,000 - $180,000",120000,180000,150000,True,3,False,"Job Role: Business Development Manager. Skills: Sales Strategy, Market Analysis, Negotiation. Projects: Partnership Development, Market Expansion. Experience: Senior-level (5+ years)"
43,Petroleum Engineer,"Reservoir Engineering, Well Design, Geology",reservoir engineering | well design | geology,"[""reservoir engineering"", ""well design"", ""geology""]","Oil Field Development, Production Optimization","ExxonMobil, Shell, Chevron",General,College,Mid-level (2-5 years),2.0,"$130,000 - $190,000",130000,190000,160000,True,3,False,"Job Role: Petroleum Engineer. Skills: Reservoir Engineering, Well Design, Geology. Projects: Oil Field Development, Production Optimization. Experience: Mid-level (2-5 years)"
44,Clinical Informatics Specialist,"Healthcare IT, Data Analysis, Clinical Workflows",healthcare it | data analysis | clinical workflows,"[""healthcare it"", ""data analysis"", ""clinical workflows""]","EHR Optimization, Clinical Decision Support","Epic, Cerner, Meditech",General,College,Mid-level (2-5 years),2.0,"$90,000 - $140,000",90000,140000,115000,True,3,False,"Job Role: Clinical Informatics Specialist. Skills: Healthcare IT, Data Analysis, Clinical Workflows. Projects: EHR Optimization, Clinical Decision Support. Experience: Mid-level (2-5 years)"
45,Hedge Fund Analyst,"Investment Analysis, Portfolio Management, Programming",investment analysis | portfolio management | programming,"[""investment analysis"", ""portfolio management"", ""programming""]","Trading Strategy Development, Risk Analysis","Bridgewater, Point72, Renaissance",General,College,Mid-level (2-5 years),2.0,"$150,000 - $250,000",150000,250000,200000,True,3,False,"Job Role: Hedge Fund Analyst. Skills: Investment Analysis, Portfolio Management, Programming. Projects: Trading Strategy Development, Risk Analysis. Experience: Mid-level (2-5 years)"
46,Automation Engineer,"PLC Programming, SCADA, Industrial Automation, PLC, Python, MATLAB, Circuit Design, Problem Solving, Troubleshooting",plc programming | scada | industrial automation | plc | python | matlab | circuit design | problem solving | troubleshooting,"[""plc programming"", ""scada"", ""industrial automation"", ""plc"", ""python"", ""matlab"", ""circuit design"", ""problem solving"", ""troubleshooting""]","Factory Automation, Control Systems","Siemens, Rockwell, ABB",Technical,College,Mid-level (2-5 years),2.0,"$90,000 - $140,000",90000,140000,115000,True,9,False,"Job Role: Automation Engineer. Skills: PLC Programming, SCADA, Industrial Automation, PLC, Python, MATLAB, Circuit Design, Problem Solving, Troubleshooting. Projects: Factory Automation, Control Systems. Experience: Mid-level (2-5 years)"
47,Healthcare Compliance Officer,"Healthcare Laws, Risk Management, Compliance",healthcare laws | risk management | compliance,"[""healthcare laws"", ""risk management"", ""compliance""]","Compliance Programs, Audit Management","UnitedHealth, Anthem, Humana",General,College,Senior-level (5+ years),3.0,"$110,000 - $170,000",110000,170000,140000,True,3,False,"Job Role: Healthcare Compliance Officer. Skills: Healthcare Laws, Risk Management, Compliance. Projects: Compliance Programs, Audit Management. Experience: Senior-level (5+ years)"
48,Credit Risk Analyst,"Credit Analysis, Risk Modeling, Banking Regulations",credit analysis | risk modeling | banking regulations,"[""credit analysis"", ""risk modeling"", ""banking regulations""]","Credit Risk Models, Portfolio Analysis","Bank of America, Wells Fargo, Citi",General,College,Mid-level (2-5 years),2.0,"$85,000 - $130,000",85000,130000,107500,True,3,False,"Job Role: Credit Risk Analyst. Skills: Credit Analysis, Risk Modeling, Banking Regulations. Projects: Credit Risk Models, Portfolio Analysis. Experience: Mid-level (2-5 years)"
49,Aerodynamics Engineer,"CFD, Wind Tunnel Testing, Aerodynamics",cfd | wind tunnel testing | aerodynamics,"[""cfd"", ""wind tunnel testing"", ""aerodynamics""]","Aircraft Design, Performance Analysis","Boeing, Airbus, Lockheed Martin",General,College,Senior-level (5+ years),3.0,"$120,000 - $180,000",120000,180000,150000,True,3,False,"Job Role: Aerodynamics Engineer. Skills: CFD, Wind Tunnel Testing, Aerodynamics. Projects: Aircraft Design, Performance Analysis. Experience: Senior-level (5+ years)"
50,Clinical Trial Manager,"Trial Management, GCP, Protocol Development",trial management | google cloud platform | protocol development,"[""trial management"", ""google cloud platform"", ""protocol development""]","Multi-center Trials, Study Coordination","Pfizer, GSK, Merck",General,College,Senior-level (5+ years),3.0,"$130,000 - $190,000",130000,190000,160000,True,3,False,"Job Role: Clinical Trial Manager. Skills: Trial Management, GCP, Protocol Development. Projects: Multi-center Trials, Study Coordination. Experience: Senior-level (5+ years)"
